time,strategy,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2023-07-10 09:30:00-04:00,MLTrader,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2023-07-10 09:30:00-04:00,MLTrader,SPY,buy,market,fill,1,gtc,0.0,1,stock,438.17999267578125,46.0,0.0
2023-07-17 09:30:00-04:00,MLTrader,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2023-07-17 09:30:00-04:00,MLTrader,SPY,buy,market,fill,1,gtc,0.0,1,stock,449.1300048828125,36.0,0.0
2023-07-20 09:30:00-04:00,MLTrader,TSLA,buy,market,new,1,gtc,0.0,1,stock,,,
2023-07-20 09:30:00-04:00,MLTrader,TSLA,buy,market,fill,1,gtc,0.0,1,stock,279.55999755859375,46.0,0.0
2023-07-21 09:30:00-04:00,MLTrader,TSLA,sell,limit,canceled,1,day,0.0,1,stock,,,
2023-07-21 09:30:00-04:00,MLTrader,TSLA,sell,stop,fill,1,day,0.0,1,stock,265.5819976806641,46.0,0.0
2023-07-26 09:30:00-04:00,MLTrader,AMZN,buy,market,new,1,gtc,0.0,1,stock,,,
2023-07-26 09:30:00-04:00,MLTrader,MSFT,buy,market,new,1,gtc,0.0,1,stock,,,
2023-07-26 09:30:00-04:00,MLTrader,AMZN,buy,market,fill,1,gtc,0.0,1,stock,126.51000213623047,100.0,0.0
2023-07-26 09:30:00-04:00,MLTrader,MSFT,buy,market,fill,1,gtc,0.0,1,stock,341.44000244140625,37.0,0.0
2023-07-27 09:30:00-04:00,MLTrader,META,buy,market,new,1,gtc,0.0,1,stock,,,
2023-07-27 09:30:00-04:00,MLTrader,META,buy,market,fill,1,gtc,0.0,1,stock,325.1199951171875,23.0,0.0
2023-07-31 09:30:00-04:00,MLTrader,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-07-31 09:30:00-04:00,MLTrader,MSFT,sell,market,new,1,gtc,0.0,1,stock,,,
2023-07-31 09:30:00-04:00,MLTrader,SPY,sell,market,fill,1,gtc,0.0,1,stock,457.4100036621094,82.0,0.0
