time,strategy,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2021-01-28 09:30:00-05:00,MLTrader,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2021-01-28 09:30:00-05:00,MLTrader,AAPL,buy,market,fill,1,gtc,0.0,1,stock,139.52000427246094,358.0,0.0
2021-01-29 09:30:00-05:00,MLTrader,AAPL,sell,limit,canceled,1,day,0.0,1,stock,,,
2021-01-29 09:30:00-05:00,MLTrader,AAPL,sell,stop,fill,1,day,0.0,1,stock,132.54400405883788,358.0,0.0
2021-07-28 09:30:00-04:00,MLTrader,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2021-07-28 09:30:00-04:00,MLTrader,AAPL,buy,market,fill,1,gtc,0.0,1,stock,144.69000244140625,337.0,0.0
2021-07-29 09:30:00-04:00,MLTrader,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2021-07-29 09:30:00-04:00,MLTrader,AAPL,buy,market,fill,1,gtc,0.0,1,stock,144.3800048828125,169.0,0.0
2021-10-29 09:30:00-04:00,MLTrader,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2021-10-29 09:30:00-04:00,MLTrader,AAPL,buy,market,fill,1,gtc,0.0,1,stock,147.22000122070312,83.0,0.0
2021-12-01 09:30:00-05:00,MLTrader,AAPL,sell,stop,canceled,1,day,0.0,1,stock,,,
2021-12-01 09:30:00-05:00,MLTrader,AAPL,sell,limit,fill,1,day,0.0,1,stock,167.47999572753906,337.0,0.0
2021-12-01 09:30:00-05:00,MLTrader,AAPL,sell,stop,canceled,1,day,0.0,1,stock,,,
2021-12-01 09:30:00-05:00,MLTrader,AAPL,sell,limit,fill,1,day,0.0,1,stock,169.3030014038086,83.0,0.0
2021-12-01 09:30:00-05:00,MLTrader,AAPL,sell,stop,canceled,1,day,0.0,1,stock,,,
2021-12-01 09:30:00-05:00,MLTrader,AAPL,sell,limit,fill,1,day,0.0,1,stock,167.47999572753906,169.0,0.0
2023-05-05 09:30:00-04:00,MLTrader,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2023-05-05 09:30:00-04:00,MLTrader,AAPL,buy,market,fill,1,gtc,0.0,1,stock,170.97999572753906,325.0,0.0
2023-07-18 09:30:00-04:00,MLTrader,AAPL,sell,stop,canceled,1,day,0.0,1,stock,,,
2023-07-18 09:30:00-04:00,MLTrader,AAPL,sell,limit,fill,1,day,0.0,1,stock,196.6269950866699,325.0,0.0
2023-11-03 09:30:00-04:00,MLTrader,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2023-11-03 09:30:00-04:00,MLTrader,AAPL,buy,market,fill,1,gtc,0.0,1,stock,174.24000549316406,343.0,0.0
