2024-02-08 12:16:09,139: root: INFO: MLTrader : Executing the initialize lifecycle method
2024-02-08 12:16:10,005: root: INFO: Current backtesting datetime 2021-01-04 08:30:00-05:00
2024-02-08 12:16:10,006: root: INFO: MLTrader : Executing the before_market_opens lifecycle method
2024-02-08 12:16:10,007: root: INFO: Current backtesting datetime 2021-01-04 09:30:00-05:00
2024-02-08 12:16:10,007: root: INFO: MLTrader : Executing the before_starting_trading lifecycle method
2024-02-08 12:16:10,007: root: INFO: [34mMLTrader : Executing the on_trading_iteration lifecycle method at 2024-02-08 12:16:10[0m
2024-02-08 12:16:10,007: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-08 12:16:10,014: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-08 12:16:11,602: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-08 12:16:11,613: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-08 12:16:11,823: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-08 12:16:11,831: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-08 12:16:11,899: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-08 12:16:11,903: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-08 12:16:11,959: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-08 12:16:11,963: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-08 12:16:12,072: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-08 12:16:12,076: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-08 12:16:12,200: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-08 12:16:12,205: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-08 12:16:12,286: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-08 12:16:12,290: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-08 12:16:12,346: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-08 12:16:12,350: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-08 12:16:12,501: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-08 12:16:12,513: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-08 12:16:12,584: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-08 12:16:12,588: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-08 12:16:12,640: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-08 12:16:12,644: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-08 12:16:12,697: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-08 12:16:12,703: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-08 12:16:12,764: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-08 12:16:12,770: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-08 12:16:13,082: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-08 12:16:13,089: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-08 12:16:13,149: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-08 12:16:13,152: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-08 12:16:13,205: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-08 12:16:13,211: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-08 12:16:13,264: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-08 12:16:13,268: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-08 12:16:13,322: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-08 12:16:13,327: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-08 12:16:13,380: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-08 12:16:13,384: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-08 12:16:13,442: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-08 12:16:13,447: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-08 12:16:13,510: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-08 12:16:13,516: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-08 12:16:13,669: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-08 12:16:13,673: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-08 12:16:13,733: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-08 12:16:13,736: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-08 12:16:13,828: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-08 12:16:13,832: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-08 12:16:13,952: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-08 12:16:13,956: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-08 12:16:14,012: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-08 12:16:14,016: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-08 12:16:14,127: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-08 12:16:14,133: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-08 12:16:14,194: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-08 12:16:14,199: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-08 12:16:14,260: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-08 12:16:14,265: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-08 12:16:14,320: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-08 12:16:14,323: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-08 12:16:14,405: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-08 12:16:14,411: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-08 12:16:14,473: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-08 12:16:14,480: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-08 12:16:14,591: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-08 12:16:14,621: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-08 12:16:14,746: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-08 12:16:14,751: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-08 12:16:14,808: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-08 12:16:14,814: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-08 12:16:14,870: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-08 12:16:14,875: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-08 12:16:14,934: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-08 12:16:14,940: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-08 12:16:15,002: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-08 12:16:15,007: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-08 12:16:15,125: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-08 12:16:15,129: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-08 12:16:15,190: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-08 12:16:15,195: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-08 12:16:15,256: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-08 12:16:15,260: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-08 12:16:15,320: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-08 12:16:15,324: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-08 12:16:15,382: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-08 12:16:15,387: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-08 12:16:15,440: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-08 12:16:15,446: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-08 12:16:15,570: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
