time,strategy,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2023-01-18 09:30:00-05:00,MLTrader,QQQ,sell,market,new,1,gtc,0.0,1,stock,,,
2023-01-18 09:30:00-05:00,MLTrader,QQQ,sell,market,fill,1,gtc,0.0,1,stock,283.1099853515625,71.0,0.0
2023-01-19 09:30:00-05:00,MLTrader,QQQ,sell,market,new,1,gtc,0.0,1,stock,,,
2023-01-19 09:30:00-05:00,MLTrader,QQQ,sell,market,fill,1,gtc,0.0,1,stock,276.2200012207031,87.0,0.0
2023-01-20 09:30:00-05:00,MLTrader,QQQ,sell,market,new,1,gtc,0.0,1,stock,,,
2023-01-20 09:30:00-05:00,MLTrader,QQQ,sell,market,fill,1,gtc,0.0,1,stock,276.7900085449219,104.0,0.0
2023-01-23 08:30:00-05:00,MLTrader,QQQ,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-01-23 08:30:00-05:00,MLTrader,QQQ,buy,stop,fill,1,day,0.0,1,stock,290.03100128173827,87.0,0.0
2023-01-26 09:30:00-05:00,MLTrader,QQQ,sell,market,new,1,gtc,0.0,1,stock,,,
2023-01-26 09:30:00-05:00,MLTrader,QQQ,sell,market,fill,1,gtc,0.0,1,stock,291.2200012207031,101.0,0.0
2023-01-26 09:30:00-05:00,MLTrader,QQQ,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-01-26 09:30:00-05:00,MLTrader,QQQ,buy,stop,fill,1,day,0.0,1,stock,291.2200012207031,104.0,0.0
2023-01-27 09:30:00-05:00,MLTrader,QQQ,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-01-27 09:30:00-05:00,MLTrader,QQQ,buy,stop,fill,1,day,0.0,1,stock,297.26548461914064,71.0,0.0
2023-02-02 09:30:00-05:00,MLTrader,QQQ,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-02-02 09:30:00-05:00,MLTrader,QQQ,buy,stop,fill,1,day,0.0,1,stock,307.57000732421875,101.0,0.0
2023-02-10 09:30:00-05:00,MLTrader,QQQ,sell,market,new,1,gtc,0.0,1,stock,,,
2023-02-10 09:30:00-05:00,MLTrader,QQQ,sell,market,fill,1,gtc,0.0,1,stock,299.4800109863281,63.0,0.0
2023-03-21 09:30:00-04:00,MLTrader,QQQ,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-03-21 09:30:00-04:00,MLTrader,QQQ,buy,stop,fill,1,day,0.0,1,stock,314.45401153564455,63.0,0.0
2023-05-03 09:30:00-04:00,MLTrader,QQQ,sell,market,new,1,gtc,0.0,1,stock,,,
2023-05-03 09:30:00-04:00,MLTrader,QQQ,sell,market,fill,1,gtc,0.0,1,stock,317.05999755859375,59.0,0.0
2023-05-04 09:30:00-04:00,MLTrader,QQQ,sell,market,new,1,gtc,0.0,1,stock,,,
2023-05-04 09:30:00-04:00,MLTrader,QQQ,sell,market,fill,1,gtc,0.0,1,stock,318.4700012207031,71.0,0.0
2023-05-05 09:30:00-04:00,MLTrader,QQQ,sell,market,new,1,gtc,0.0,1,stock,,,
2023-05-05 09:30:00-04:00,MLTrader,QQQ,sell,market,fill,1,gtc,0.0,1,stock,318.4700012207031,85.0,0.0
2023-05-11 09:30:00-04:00,MLTrader,QQQ,sell,market,new,1,gtc,0.0,1,stock,,,
2023-05-11 09:30:00-04:00,MLTrader,QQQ,sell,market,fill,1,gtc,0.0,1,stock,326.739990234375,99.0,0.0
2023-05-17 09:30:00-04:00,MLTrader,QQQ,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-05-17 09:30:00-04:00,MLTrader,QQQ,buy,stop,fill,1,day,0.0,1,stock,334.3935012817383,71.0,0.0
2023-05-17 09:30:00-04:00,MLTrader,QQQ,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-05-17 09:30:00-04:00,MLTrader,QQQ,buy,stop,fill,1,day,0.0,1,stock,334.3935012817383,85.0,0.0
2023-05-17 09:30:00-04:00,MLTrader,QQQ,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-05-17 09:30:00-04:00,MLTrader,QQQ,buy,stop,fill,1,day,0.0,1,stock,332.9129974365234,59.0,0.0
2023-05-25 09:30:00-04:00,MLTrader,QQQ,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-05-25 09:30:00-04:00,MLTrader,QQQ,buy,stop,fill,1,day,0.0,1,stock,343.0769897460938,99.0,0.0
2023-08-14 09:30:00-04:00,MLTrader,QQQ,sell,market,new,1,gtc,0.0,1,stock,,,
2023-08-14 09:30:00-04:00,MLTrader,QQQ,sell,market,fill,1,gtc,0.0,1,stock,369.3599853515625,48.0,0.0
2023-10-27 09:30:00-04:00,MLTrader,QQQ,sell,market,new,1,gtc,0.0,1,stock,,,
