time,strategy,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2022-01-03 09:30:00-05:00,MLTrader,BA,buy,market,new,1,gtc,0.0,1,stock,,,
2022-01-03 09:30:00-05:00,MLTrader,BA,buy,market,fill,1,gtc,0.0,1,stock,204.0,245.0,0.0
2022-01-04 08:30:00-05:00,MLTrader,BA,sell,stop,canceled,1,day,0.0,1,stock,,,
2022-01-04 08:30:00-05:00,MLTrader,BA,sell,limit,fill,1,day,0.0,1,stock,214.2,245.0,0.0
2022-01-04 09:30:00-05:00,MLTrader,MRK,buy,market,new,1,gtc,0.0,1,stock,,,
2022-01-04 09:30:00-05:00,MLTrader,CMCSA,buy,market,new,1,gtc,0.0,1,stock,,,
2022-01-04 09:30:00-05:00,MLTrader,ON,buy,market,new,1,gtc,0.0,1,stock,,,
2022-01-04 09:30:00-05:00,MLTrader,CMCSA,buy,market,fill,1,gtc,0.0,1,stock,50.709999084472656,1011.0,0.0
2022-01-04 09:30:00-05:00,MLTrader,ON,buy,market,fill,1,gtc,0.0,1,stock,70.55000305175781,726.0,0.0
2022-01-04 09:30:00-05:00,MLTrader,MRK,buy,market,fill,1,gtc,0.0,1,stock,76.4000015258789,671.0,0.0
2022-01-04 10:30:00-05:00,MLTrader,ON,sell,limit,canceled,1,day,0.0,1,stock,,,
2022-01-04 10:30:00-05:00,MLTrader,ON,sell,stop,fill,1,day,0.0,1,stock,68.43,726.0,0.0
