time,strategy,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2023-02-15 09:30:00-05:00,MLTrader,ABNB,buy,market,new,1,gtc,0.0,1,stock,,,
2023-02-15 09:30:00-05:00,MLTrader,ABNB,buy,market,fill,1,gtc,0.0,1,stock,130.0,385.0,0.0
2023-02-23 09:30:00-05:00,MLTrader,ABNB,sell,limit,canceled,1,day,0.0,1,stock,,,
2023-02-23 09:30:00-05:00,MLTrader,ABNB,sell,stop,fill,1,day,0.0,1,stock,123.5,385.0,0.0
2023-07-25 09:30:00-04:00,MLTrader,ABNB,buy,market,new,1,gtc,0.0,1,stock,,,
2023-07-25 09:30:00-04:00,MLTrader,ABNB,buy,market,fill,1,gtc,0.0,1,stock,147.8300018310547,330.0,0.0
2023-08-02 09:30:00-04:00,MLTrader,ABNB,sell,limit,canceled,1,day,0.0,1,stock,,,
2023-08-02 09:30:00-04:00,MLTrader,ABNB,sell,stop,fill,1,day,0.0,1,stock,140.43850173950196,330.0,0.0
2023-08-07 09:30:00-04:00,MLTrader,ABNB,buy,market,new,1,gtc,0.0,1,stock,,,
2023-08-07 09:30:00-04:00,MLTrader,ABNB,buy,market,fill,1,gtc,0.0,1,stock,140.52000427246094,338.0,0.0
2023-08-10 09:30:00-04:00,MLTrader,ABNB,sell,limit,canceled,1,day,0.0,1,stock,,,
2023-08-10 09:30:00-04:00,MLTrader,ABNB,sell,stop,fill,1,day,0.0,1,stock,133.49400405883787,338.0,0.0
