2024-02-08 12:50:40,517: root: INFO: MLTrader : Executing the initialize lifecycle method
2024-02-08 12:50:41,204: root: INFO: Current backtesting datetime 2022-01-03 08:30:00-05:00
2024-02-08 12:50:41,205: root: INFO: MLTrader : Executing the before_market_opens lifecycle method
2024-02-08 12:50:41,205: root: INFO: Current backtesting datetime 2022-01-03 09:30:00-05:00
2024-02-08 12:50:41,205: root: INFO: MLTrader : Executing the before_starting_trading lifecycle method
2024-02-08 12:50:41,206: root: INFO: [34mMLTrader : Executing the on_trading_iteration lifecycle method at 2024-02-08 12:50:41[0m
2024-02-08 12:50:41,206: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-08 12:50:41,211: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-08 12:50:42,370: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-08 12:50:42,374: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-08 12:50:42,474: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-08 12:50:42,479: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-08 12:50:42,532: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-08 12:50:42,536: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-08 12:50:42,592: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-08 12:50:42,596: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-08 12:50:42,728: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-08 12:50:42,733: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-08 12:50:42,939: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-08 12:50:42,945: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-08 12:50:43,067: root: INFO: [34mMLTrader : Trading iteration ended at 2024-02-08 12:50:43[0m
2024-02-08 12:50:43,068: root: INFO: MLTrader : [34mSleeping for 86400 seconds[0m
2024-02-08 12:50:43,068: root: INFO: Current backtesting datetime 2022-01-03 16:00:00-05:00
2024-02-08 12:50:43,068: root: INFO: Current backtesting datetime 2022-01-04 09:30:00-05:00
2024-02-08 12:50:43,069: root: INFO: [34mMLTrader : Executing the on_trading_iteration lifecycle method at 2024-02-08 12:50:43[0m
2024-02-08 12:50:43,069: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-08 12:50:43,070: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-08 12:50:43,363: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-08 12:50:43,364: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-08 12:50:43,464: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-08 12:50:43,465: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-08 12:50:43,519: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-08 12:50:43,520: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-08 12:50:43,577: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-08 12:50:43,577: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-08 12:50:43,711: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-08 12:50:43,712: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-08 12:50:43,953: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-08 12:50:43,954: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-08 12:50:44,075: root: INFO: [34mMLTrader : Trading iteration ended at 2024-02-08 12:50:44[0m
2024-02-08 12:50:44,076: root: INFO: MLTrader : [34mSleeping for 86400 seconds[0m
2024-02-08 12:50:44,076: root: INFO: Current backtesting datetime 2022-01-04 16:00:00-05:00
2024-02-08 12:50:44,076: root: INFO: Current backtesting datetime 2022-01-05 09:30:00-05:00
2024-02-08 12:50:44,077: root: INFO: [34mMLTrader : Executing the on_trading_iteration lifecycle method at 2024-02-08 12:50:44[0m
2024-02-08 12:50:44,077: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-08 12:50:44,078: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-08 12:50:44,262: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-08 12:50:44,264: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-08 12:50:44,327: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-08 12:50:44,328: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-08 12:50:44,381: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-08 12:50:44,382: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-08 12:50:44,434: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-08 12:50:44,435: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-08 12:50:44,702: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-08 12:50:44,703: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-08 12:50:44,933: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-08 12:50:44,934: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-08 12:50:45,073: root: INFO: [34mMLTrader : Trading iteration ended at 2024-02-08 12:50:45[0m
2024-02-08 12:50:45,074: root: INFO: MLTrader : [34mSleeping for 86400 seconds[0m
2024-02-08 12:50:45,075: root: INFO: Current backtesting datetime 2022-01-05 16:00:00-05:00
2024-02-08 12:50:45,075: root: INFO: Current backtesting datetime 2022-01-06 09:30:00-05:00
2024-02-08 12:50:45,075: root: INFO: [34mMLTrader : Executing the on_trading_iteration lifecycle method at 2024-02-08 12:50:45[0m
2024-02-08 12:50:45,075: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-08 12:50:45,076: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-08 12:50:45,267: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-08 12:50:45,268: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-08 12:50:45,364: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-08 12:50:45,365: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-08 12:50:45,423: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-08 12:50:45,423: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-08 12:50:45,478: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-08 12:50:45,479: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-08 12:50:45,750: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-08 12:50:45,751: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-08 12:50:45,965: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-08 12:50:45,967: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-08 12:50:46,176: root: INFO: [34mMLTrader : Trading iteration ended at 2024-02-08 12:50:46[0m
2024-02-08 12:50:46,177: root: INFO: MLTrader : [34mSleeping for 86400 seconds[0m
2024-02-08 12:50:46,178: root: INFO: Current backtesting datetime 2022-01-06 16:00:00-05:00
2024-02-08 12:50:46,178: root: INFO: Current backtesting datetime 2022-01-07 09:30:00-05:00
2024-02-08 12:50:46,178: root: INFO: [34mMLTrader : Executing the on_trading_iteration lifecycle method at 2024-02-08 12:50:46[0m
2024-02-08 12:50:46,178: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-08 12:50:46,180: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-08 12:50:46,451: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-08 12:50:46,453: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-08 12:50:46,601: root: INFO: [32mNew market order of | 52.0 QQQ sell | at price $345.6269989013672 of class bracket with status unprocessed was submitted.[0m
2024-02-08 12:50:46,621: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-08 12:50:46,622: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-08 12:50:46,692: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-08 12:50:46,693: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-08 12:50:46,747: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-08 12:50:46,748: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-08 12:50:46,984: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-08 12:50:46,986: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-08 12:50:47,196: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-08 12:50:47,197: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-08 12:50:47,648: root: INFO: [34mMLTrader : Trading iteration ended at 2024-02-08 12:50:47[0m
2024-02-08 12:50:47,648: root: INFO: Getting historical prices for QQQ, 1 bars, 
2024-02-08 12:50:47,648: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-08 12:50:47,649: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
